priority,theme,score,file_name,extension,size_bytes,modified_at,sha256,source_path,identity_terms,research_terms,claim_control
P0,gary_profile_and_public_metadata,182,IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.md,.md,3536,2026-07-09T06:17:20.019329+01:00,966520badf795f381f26f032d5709d384b2b3889b17ae74d820103925ce7b0af,C:\Users\user\aureon-trading\data\research\grants\applications\IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.md,aureon;aureon institute;gary;gary anthony leckey;gary leckey;gaxlec;leckey;r&a consulting,academia;audit;druid;epas;evidence os;hnc;lidar;orcid;profile;research;researchgate;thesis;validation;verification,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,176,EPAS_Unified_Architecture_WhitePaper_Lec.docx,.docx,26221,2026-04-08T20:43:15.669761+01:00,5aa37df44f83bea290eb08547d29b619516ecb6de27f77277c113c82ed61ffe4,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\EPAS_Unified_Architecture_WhitePaper_Lec.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;framework;harmonic;hnc;lidar;lumina;paper;research;validation;verification;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,169,HNC_Project_Druid_EPAS_Technical_Framework.docx,.docx,596873,2026-04-08T20:43:15.480421+01:00,aa082f9fa8b926213278c67c8072009487a685c6d2181f73db53f7abc42ef64f,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\HNC_Project_Druid_EPAS_Technical_Framework.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;framework;harmonic;hnc;lidar;lumina;paper;research;verification;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,166,EPAS_Unified_Architecture_v2.docx,.docx,8551303,2026-04-08T20:43:15.161519+01:00,2c9755abbf224b9562fe94f8cb8d4208c94fb54a1bd284f547d119275ca6c700,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\EPAS_Unified_Architecture_v2.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;harmonic;hnc;lidar;lumina;paper;publication;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,159,EPAS_whitepaper_extracted.txt,.txt,21964,2026-07-03T23:49:32.100445+01:00,1809a05724445650d097886948d79e0166e5e502374ebbb749275f7f9b6a8762,C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\EPAS_whitepaper_extracted.txt,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;framework;harmonic;hnc;lumina;paper;validation;verification;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,158,IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.pdf,.pdf,5462,2026-07-09T06:19:41.828473+01:00,96ad706aea7f2265c880046b24d5d3094ddcb1267f0132d7cc8811783833def7,C:\Users\user\aureon-trading\data\research\grants\applications\IFS_FUTURE_LEADERS_R11_AUREON_PACK_20260709.pdf,aureon;aureon institute;gary;gary anthony leckey;gary leckey;gaxlec;leckey;r&a consulting,audit;epas;evidence os;hnc;paper;profile;research;thesis;validation,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,157,The_Sagittarius_Convergence_Leckey_2026.docx,.docx,842898,2026-04-08T20:43:14.610915+01:00,b0f0a1aac796f806ef125e7ef9f60da8f4bd086f82bb4919d7bb19844615c889,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\The_Sagittarius_Convergence_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;coherence;druid;epas;framework;harmonic;hnc;lidar;paper;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,155,The_Source_Oscillator_Constraint_Whitepaper.docx,.docx,21817,2026-04-08T20:43:00.000520+01:00,7f742a14cb67e6c37c167a69ada4c425ed3564f5dcbfc5d53721c8849ca341aa,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\The_Source_Oscillator_Constraint_Whitepaper.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;audit;coherence;epas;framework;harmonic;hnc;lumina;paper;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,153,EPAS_ZPE_White_Paper_Leckey_2026.docx,.docx,30552,2026-04-08T20:43:15.732082+01:00,81a06e59dce26c775fcc1086c0d9745c182c829bdf3bb7fc02f4c023b2d2e78f,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\02_Cosmic_Intelligence\whitepapers\EPAS_ZPE_White_Paper_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,druid;epas;framework;harmonic;hnc;lidar;paper;research;technical report;thesis;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,152,HNC_Harmonic_LIDAR_v2_AluminiumFluid_Leckey.docx,.docx,5605518,2026-04-08T20:44:18.962725+01:00,84b7d5765788fced946d280c6992121a9b28241afd6167862ceb92ecff5ea6d7,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\04_Engineering_Hardware\whitepapers\HNC_Harmonic_LIDAR_v2_AluminiumFluid_Leckey.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;druid;epas;framework;harmonic;hnc;lidar;paper;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,152,HNC_Harmonic_LIDAR_WhitePaper_Leckey_2026.docx,.docx,3534231,2026-04-08T20:44:19.028613+01:00,5dbeec043b82a5514c554715d69b15a72b86e0867ab261f6fab52abc1f4d29d6,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\epas_druid_lidar_space\AureonResearch\04_Engineering_Hardware\whitepapers\HNC_Harmonic_LIDAR_WhitePaper_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,architecture;druid;epas;framework;harmonic;hnc;lidar;paper;research;white paper;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
P0,gary_profile_and_public_metadata,150,HNC_Grand_Unified_v2_PrimarySource_Leckey_2026.docx,.docx,44067,2026-04-08T20:43:00.194585+01:00,365ca43f35e802cfa371af61bf2ddee504ad7a21f16e1f5a24203d45703a4c48,C:\Users\user\Aureon_Work_Hub_20260705\01_LOCAL_RESEARCH_CORPUS\hnc_core_theory\AureonResearch\01_Theory\whitepapers\HNC_Grand_Unified_v2_PrimarySource_Leckey_2026.docx,aureon;aureon institute;gary;gary leckey;leckey;r&a consulting,audit;coherence;epas;framework;harmonic;hnc;paper;publication;research;validation;whitepaper,"Use as Gary/Aureon local metadata or research-output evidence only; do not present as independent validation, finance, legal, credential, partner, or award evidence without separate source checks."
