"Collection","SourcePath","HubPath","Name","Extension","Length","LastWriteTime"
"aureonresearch_validation_delta","C:\Users\user\AureonResearch\05_Validation_Verification\Mythology → Method_ Test Plan.docx","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\AureonResearch\05_Validation_Verification\Mythology → Method_ Test Plan.docx","Mythology → Method_ Test Plan.docx",".docx","222105","08/04/2026 20:44:34"
"claude_project_memory_notes","C:\Users\user\.claude\projects\C--Users-user-AureonResearch\memory\MEMORY.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.claude\projects\C--Users-user-AureonResearch\memory\MEMORY.md","MEMORY.md",".md","891","08/04/2026 21:18:32"
"claude_project_memory_notes","C:\Users\user\.claude\projects\C--Users-user-AureonResearch\memory\project_alfie_conference.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.claude\projects\C--Users-user-AureonResearch\memory\project_alfie_conference.md","project_alfie_conference.md",".md","2288","08/04/2026 21:18:16"
"claude_project_memory_notes","C:\Users\user\.claude\projects\C--Users-user-AureonResearch\memory\user_gary_leckey.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.claude\projects\C--Users-user-AureonResearch\memory\user_gary_leckey.md","user_gary_leckey.md",".md","1400","08/04/2026 21:18:26"
"claude_project_memory_notes","C:\Users\user\.claude\projects\C--Users-user-aureon-trading\memory\MEMORY.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.claude\projects\C--Users-user-aureon-trading\memory\MEMORY.md","MEMORY.md",".md","5086","11/02/2026 12:14:21"
"claude_project_memory_notes","C:\Users\user\.claude\projects\C--Users-user-aureon-trading--claude-worktrees-confident-taussig\memory\MEMORY.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.claude\projects\C--Users-user-aureon-trading--claude-worktrees-confident-taussig\memory\MEMORY.md","MEMORY.md",".md","2399","11/02/2026 12:49:18"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon_batch_poster.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon_batch_poster.py","aureon_batch_poster.py",".py","17356","05/07/2026 01:00:23"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon_batch_poster_v2.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon_batch_poster_v2.py","aureon_batch_poster_v2.py",".py","17087","05/07/2026 01:09:48"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\AUREON_COMPLETE_BREADCRUMB_TRAIL.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\AUREON_COMPLETE_BREADCRUMB_TRAIL.md","AUREON_COMPLETE_BREADCRUMB_TRAIL.md",".md","26014","03/07/2026 20:51:07"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\AUREON_ETHICS.md","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\AUREON_ETHICS.md","AUREON_ETHICS.md",".md","8177","03/07/2026 20:51:08"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon_papers_1_to_4.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon_papers_1_to_4.py","aureon_papers_1_to_4.py",".py","11061","05/07/2026 01:12:45"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon_physical_poster.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon_physical_poster.py","aureon_physical_poster.py",".py","7788","04/07/2026 23:56:15"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon_substack_poster.py","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon_substack_poster.py","aureon_substack_poster.py",".py","24175","04/07/2026 23:53:36"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\590513c76b9371c346b05784850c51d4824081be.png","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\590513c76b9371c346b05784850c51d4824081be.png","590513c76b9371c346b05784850c51d4824081be.png",".png","282698","03/07/2026 20:51:09"
"kimi_openclaw_workspace_research","C:\Users\user\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\9e4f4cda73fbc17d73a9cb657f0ca181f4e3f595.png","C:\Users\user\Aureon_Work_Hub_20260705\06_LOCAL_DELTA_IMPORTS_20260705\.kimi_openclaw\workspace\aureon-trading\Antarctic research\_extracted\pattern_report\word\media\9e4f4cda73fbc17d73a9cb657f0ca181f4e3f595.png","9e4f4cda73fbc17d73a9cb657f0ca181f4e3f595.png",".png","385223","03/07/2026 20:51:09"
