symbol,internal_pair,wsname,base_asset,quote_asset,asset_class,spot_trade_ready,margin_trade_ready,snapshot_status,bid,ask,mid_price,spread,spread_pct,ordermin,costmin,lot_decimals,pair_decimals,lot_step,tick_size,entry_maker_fee_pct,entry_taker_fee_pct,lowest_maker_fee_pct,lowest_taker_fee_pct,margin_supported,leverage_buy,leverage_sell,max_leverage,min_notional_estimate,min_margin_required_estimate,blockers,spot_buy_call,spot_sell_call,limit_buy_call,take_profit_call,margin_long_call,margin_short_call,margin_close_call
0GEUR,0GEUR,0G/EUR,0G,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.447,0.448,0.4475,0.0010000000000000009,0.2234636871508382,10.0,0.45,5,3,1e-05,0.001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""0GEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""0GEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""0GEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""0GEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
0GUSD,0GUSD,0G/USD,0G,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.52,0.521,0.5205,0.0010000000000000009,0.19212295869356408,10.0,0.5,5,3,1e-05,0.001,0.23,0.4,-0.02,0.05,True,2;3,,3,0.5,0.16666666666666666,,"client.place_market_order(""0GUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""0GUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""0GUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""0GUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""0GUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""0GUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""0GUSD"", close_side, volume=base_qty)"
1INCHEUR,1INCHEUR,1INCH/EUR,1INCH,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0815,0.0817,0.0816,0.00019999999999999185,0.24509803921567624,55.0,0.45,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""1INCHEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""1INCHEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""1INCHEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""1INCHEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
1INCHUSD,1INCHUSD,1INCH/USD,1INCH,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0948,0.095,0.0949,0.00020000000000000573,0.21074815595364146,55.0,0.5,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""1INCHUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""1INCHUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""1INCHUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""1INCHUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
2ZEUR,2ZEUR,2Z/EUR,2Z,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.08001,0.08039,0.0802,0.00038000000000000533,0.47381546134664015,54.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""2ZEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""2ZEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""2ZEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""2ZEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
2ZUSD,2ZUSD,2Z/USD,2Z,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0931,0.09343,0.093265,0.00032999999999999696,0.35383048303221676,54.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""2ZUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""2ZUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""2ZUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""2ZUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEETH,AAVEETH,AAVE/ETH,AAVE,ETH,crypto_cross_pair,True,False,fresh_ticker,0.042,0.0426,0.042300000000000004,0.0005999999999999964,1.4184397163120481,0.05,0.0002,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.0002,0.0,,"client.place_market_order(""AAVEETH"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEETH"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEETH"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEETH"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEEUR,AAVEEUR,AAVE/EUR,AAVE,EUR,crypto_fiat_or_stable_pair,True,True,fresh_ticker,80.06,80.11,80.08500000000001,0.04999999999999716,0.06243366423175021,0.05,0.45,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,True,2;3,2;3,3,0.45,0.15,,"client.place_market_order(""AAVEEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEEUR"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""AAVEEUR"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""AAVEEUR"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""AAVEEUR"", close_side, volume=base_qty)"
AAVEGBP,AAVEGBP,AAVE/GBP,AAVE,GBP,crypto_fiat_or_stable_pair,True,False,fresh_ticker,69.62,69.97,69.795,0.3499999999999943,0.5014685865749614,0.05,0.43,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,False,,,1,0.43,0.0,,"client.place_market_order(""AAVEGBP"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEGBP"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEGBP"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEGBP"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEUSD,AAVEUSD,AAVE/USD,AAVE,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,93.05,93.1,93.07499999999999,0.04999999999999716,0.05372011818425696,0.05,0.5,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,True,2;3;4;5,2;3;4;5,5,0.5,0.1,,"client.place_market_order(""AAVEUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""AAVEUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""AAVEUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""AAVEUSD"", close_side, volume=base_qty)"
