lag_steps,r,p_value
-12,-0.0021114844474748934,0.9093690654482043
-11,-0.002559805771680778,0.8902181892903946
-10,-0.0027948502010382834,0.8801902890698734
-9,-0.003007833930335213,0.8711150722187935
-8,-0.0030894119475920628,0.8676287371501872
-7,-0.003312758035848845,0.8581329542010718
-6,-0.003605327811103227,0.8457284467496298
-5,-0.004009533294785412,0.8286581673393679
-4,-0.004546419140209581,0.8061120822387134
-3,-0.005118509160892895,0.7822580525037074
-2,-0.005444494484343378,0.7687349119498217
-1,-0.005729980033150187,0.7569404231328482
0,-0.0057739952440845925,0.7550922221899653
1,-0.006682618030860531,0.7181306885710483
2,-0.007313135650995078,0.6928809217732445
3,-0.00732535914805328,0.6924438258521012
4,-0.008353112986382692,0.652018420961753
5,-0.00819675126467956,0.6581692307073059
6,-0.00773989997459333,0.6761591948159473
7,-0.008047933605427734,0.664099654531416
8,-0.008717846659298745,0.6381203487119745
9,-0.009190247769443294,0.6200846175682444
10,-0.010049508184279396,0.5878262220730937
11,-0.01097197707080908,0.5540914092409026
12,-0.011326902850769137,0.5414146365247592
