# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
11 UMi b,11 UMi,229.2745954,71.8239428,4213.00,516.21997000000
16 Cyg B b,16 Cyg B,295.4656422,50.5168243,5750.00,798.50000000000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,294.6359173,46.0664076,29564.00,406.00000000000
55 Cnc B b,55 Cnc B,133.1679080,28.3152863,3286.00,6.79940000000
55 Cnc d,55 Cnc,133.1468373,28.3298154,5198.00,4799.00000000000
91 Aqr b,91 Aqr,348.9745031,-9.0878076,4665.00,181.40000000000
BD+20 594 b,BD+20 594,53.6511231,20.5990205,5766.00,41.68550000000
BD-06 1339 b,BD-06 1339,88.2511811,-5.9963378,4324.00,3.87280000000
Barnard c,Barnard's star,269.4486144,4.7379808,3195.00,4.12440000000
CoRoT-1 b,CoRoT-1,102.0798591,-3.1021394,5950.00,1.50895570000
CoRoT-20 b,CoRoT-20,97.7204249,0.2268931,5880.00,9.24285000000
CoRoT-20 c,CoRoT-20,97.7204249,0.2268931,5880.00,1675.00000000000
CoRoT-4 b,CoRoT-4,102.1946233,-0.6727861,6190.00,9.20205000000
DMPP-2 d,DMPP-2,27.4077310,-34.4590985,6500.00,16.49100000000
DMPP-7 b,DMPP-7,203.5284651,0.4988127,5996.82,4.98400000000
DP Leo b,DP Leo,169.3162193,17.9615717,13500.00,10220.00000000000
EPIC 201497682 b,EPIC 201497682,168.9366786,0.4880606,4991.00,2.13174000000
EPIC 201595106 b,EPIC 201595106,183.7203635,1.9681688,5679.00,0.87724000000
EPIC 206042996 b,EPIC 206042996,337.5136198,-13.6101475,4114.00,5.29860000000
EPIC 206317286 c,EPIC 206317286,337.6178427,-7.9724560,4752.00,17.51547200000
EPIC 212624936 c,EPIC 212624936,210.6376171,-10.0236852,5765.00,11.81143700000
EPIC 212737443 c,EPIC 212737443,204.2215065,-7.3180577,4684.00,65.55000000000
EPIC 220492298 b,EPIC 220492298,16.7615005,6.5887980,5620.00,0.76240600000
EPIC 228836835 b,EPIC 228836835,189.5748998,-5.2446247,3782.00,0.72811300000
EPIC 229004835 b,EPIC 229004835,186.4860415,-1.4047214,5868.00,16.14113200000
EPIC 248847494 b,EPIC 248847494,159.3890808,11.8427484,4898.00,3650.00000000000
GJ 1061 c,GJ 1061,54.0032486,-44.5143104,2953.00,6.68210000000
GJ 1132 c,GJ 1132,153.7090696,-47.1549358,3090.00,8.92900000000
GJ 1137 c,HD 93083,161.0866672,-33.5776794,5033.80,9.64120000000
GJ 1252 b,GJ 1252,306.9286462,-56.4622865,3458.00,0.51823310000
GJ 179 b,GJ 179,73.0245495,6.4752347,3370.00,2288.00000000000
GJ 180 d,GJ 180,73.4600970,-17.7761940,3371.00,106.30000000000
GJ 229 A c,GJ 229,92.6435993,-21.8677233,3564.00,121.93268000000
GJ 251 b,GJ 251,103.7002499,33.2664632,3342.00,14.23700000000
GJ 3090 b,GJ 3090,20.4384281,-46.7147234,3707.00,2.85310198000
GJ 3138 c,GJ 3138,32.2977385,-16.3392495,3717.00,5.97400000000
GJ 3341 b,GJ 3341,78.9471415,-31.2948458,3526.00,14.20700000000
GJ 3473 b,GJ 3473,120.5936065,3.3371629,3347.00,1.19800350000
GJ 3512 c,GJ 3512,130.3316616,59.4918364,3141.00,2354.00000000000
GJ 357 d,GJ 357,144.0074644,-21.6650634,3505.00,55.66100000000
GJ 367 c,GJ 367,146.1214640,-45.7790165,3522.00,11.53010000000
GJ 367 d,GJ 367,146.1214640,-45.7790165,3522.00,34.36900000000
